,Annualized return,Annualized volatility,Annualized Sharpe ratio,Max drawdown
0P0000SCQD.F,0.031085105362995025,0.04376660592939336,0.4817624057257409,-0.05524356822327535
VWCE.DE,0.14929939069722487,0.2013037539435843,0.6919860557407377,-0.33430764290456993
UST.PA,0.2001536275300757,0.23784162987601176,0.7994968232819625,-0.40608231795739747
AAPL,0.2656501813632497,0.4021187805426648,0.6357578748703213,-0.8180145353915966
BTC-EUR,0.5571764753229995,0.6215558324549956,0.8803335867057742,-0.8339900882218972
